              0	 -0.145	 -0.065
              1	 -0.145	 -0.065
              2	 -0.145	 -0.065
              3	 -0.145	 -0.065
              4	 -0.145	 -0.065
              5	 -0.145	 -0.065
              6	 -0.145	 -0.065
              7	 -0.145	 -0.065
              8	 -0.120	 -0.080
              9	 -0.135	 -0.080
             10	 -0.145	 -0.085
             11	 -0.150	 -0.085
             12	 -0.160	 -0.075
             13	 -0.155	 -0.070
             14	 -0.160	 -0.070
             15	 -0.175	 -0.065
             16	 -0.180	 -0.055
             17	 -0.185	 -0.050
             18	 -0.170	 -0.050
             19	 -0.155	 -0.040
             20	 -0.175	 -0.040
             21	 -0.180	 -0.055
             22	 -0.190	 -0.075
             23	 -0.180	 -0.080
             24	 -0.155	 -0.085
             25	 -0.135	 -0.070
             26	 -0.155	 -0.080
             27	 -0.190	 -0.080
             28	 -0.205	 -0.090
             29	 -0.235	 -0.095
             30	 -0.225	 -0.090
             31	 -0.245	 -0.095
             32	 -0.250	 -0.110
             33	 -0.260	 -0.120
             34	 -0.275	 -0.145
             35	 -0.275	 -0.135
             36	 -0.275	 -0.105
             37	 -0.265	 -0.095
             38	 -0.255	 -0.105
             39	 -0.265	 -0.120
             40	 -0.275	 -0.135
             41	 -0.290	 -0.125
             42	 -0.290	 -0.125
             43	 -0.290	 -0.115
             44	 -0.290	 -0.115
             45	 -0.285	 -0.125
             46	 -0.295	 -0.140
             47	 -0.305	 -0.140
             48	 -0.285	 -0.130
             49	 -0.275	 -0.125
             50	 -0.275	 -0.140
             51	 -0.280	 -0.145
             52	 -0.285	 -0.150
             53	 -0.305	 -0.150
             54	 -0.290	 -0.130
             55	 -0.300	 -0.115
             56	 -0.280	 -0.125
             57	 -0.290	 -0.135
             58	 -0.300	 -0.160
             59	 -0.315	 -0.195
             60	 -0.320	 -0.200
             61	 -0.335	 -0.205
             62	 -0.360	 -0.225
             63	 -0.385	 -0.255
             64	 -0.385	 -0.300
             65	 -0.405	 -0.290
             66	 -0.455	 -0.235
             67	 -0.485	 -0.130
             68	 -0.485	 -0.035
             69	 -0.425	  0.050
             70	 -0.330	  0.120
             71	 -0.220	  0.200
             72	 -0.070	  0.310
             73	  0.120	  0.435
             74	  0.375	  0.535
             75	  0.620	  0.580
             76	  0.780	  0.475
             77	  0.840	  0.210
             78	  0.765	 -0.085
             79	  0.520	 -0.230
             80	  0.170	 -0.250
             81	 -0.165	 -0.215
